Country Name,Max Latitude,Min Latitude,Max Longitude,Min Longitude,Country Code
Niger,0.4714675107711246,0.5792300805729632,0.533263145913954,0.5198834122128594,NER
Nigeria,0.3867053547876551,0.5187596646862537,0.529564079216936,0.5271557197275771,NGA
Norway,0.9748527213576011,0.0407748026369333,0.5835419986341908,0.4931317095694333,NOR
Oman,0.4967027169612239,0.619435175388622,0.658092419758707,0.6694563084381855,OMN
Pakistan,0.5904334828101644,0.6768128916741271,0.7070623719553835,0.6950248181923122,PAK
Panama,0.3493361470148597,0.5426873931797834,0.2682676986114272,0.2797818307745585,PAN
Paraguay,0.0950496790644508,0.2594612191747375,0.3334566355565672,0.3386528916079881,PRY
Peru,0.2643981359359888,0.3347440384145845,0.2923969952196676,0.2847166108738313,PER
Philippines,0.4503648993229578,0.5219337511190689,0.8481106305485999,0.8569490938473971,PHL
Poland,0.7468565901697002,0.8827215756490601,0.5565103573867516,0.5601985455384971,POL
Portugal,0.6352765321375187,0.7284121429152762,0.4701513771909857,0.4291815768209628,PRT
Republic of Moldova,0.6910225973797591,0.8539920240905021,0.5735545185522422,0.5962714994805496,MDA
Romania,0.6890881913303438,0.8392610075689753,0.5723309811063054,0.5778598637885259,ROU
Russian Federation,0.9832058383891672,0.8192398469927564,1.0,0.0,RUS
Rwanda,0.2553415985228172,0.4609750142426955,0.5757170498520373,0.6027357728269653,RWA
Saint Kitts and Nevis,0.4178317066737009,0.6231789696427118,0.3098679717732756,0.3380468659817616,KNA
Saint Lucia,0.3887276883847709,0.595588833726703,0.3145913954017755,0.3431836546231098,LCA
Saint Vincent and the Grenadines,0.3823089774026202,0.5864735085863106,0.3139084907807876,0.3420870368232714,VCT
Samoa,0.1463114393739558,0.3696589891755513,0.0,0.0208357381969295,WSM
Sao Tome and Principe,0.2796096016882089,0.4839261007568975,0.5090769405872979,0.5381218977259611,STP
Saudi Arabia,0.5470852017937221,0.6172377309351347,0.6461415888914182,0.6192138981876949,SAU
Senegal,0.4114129956915502,0.5841946773012127,0.4554404734805372,0.4688329677940668,SEN
Serbia,0.6707992614085994,0.8246113778790591,0.5532950147962667,0.5738485513101698,SRB
Sierra Leone,0.3525894662797855,0.5403271750630747,0.4585704529933986,0.4810689137712109,SLE
Slovakia,0.7007825551745361,0.8726296085293399,0.5519576599134988,0.5680480203162878,SVK
Slovenia,0.6766904071045459,0.8536664767640596,0.5348281356703847,0.558034168301974,SVN
Solomon Islands,0.2033764178317066,0.3839830715390249,0.9682164807648532,0.9682269421678404,SLB
South Africa,0.0700782555174536,0.1017335395133067,0.5958911905303892,0.5669802608796031,ZAF
Spain,0.6496966499604326,0.708960690160332,0.5001707261552469,0.4670148909153874,ESP
Sri Lanka,0.3510946979688737,0.5321884919020102,0.7208342818119735,0.7493362576474664,LKA
Sudan,0.460124857117735,0.5546512574265483,0.5976553608012747,0.5823906268036478,SDN
Suriname,0.3175063747472083,0.4989012777732562,0.3341964488959708,0.3518700219323561,SUR
Sweden,0.8717137079046866,0.9344022137218198,0.5565672661051673,0.5515121782292509,SWE
Switzerland,0.6849555965884111,0.8569219500284853,0.5176132483496472,0.5366212628419716,CHE
